note; resume; opinions
9.0; Fabuleux  ; L'hotel est propre , personnel accueillant , Room service gratuit .navette aeroport gratuit. Mais seul bemole , les chambres sont insonorisées, | Service , emplacement de l hotel, disponibilité des employés , toujours à l'écoute|
7.0;Bien; Les bruits venant du carrefour avoisinant. Améliorer l'insonorisation. Et les menus sur la carte ne correspondent pas tous à l'existant.| Personnel accueillant et ouvert.|
7.0; Bien  ; Pas pour le moment.| Pas pour le moment.|
7.5; Bien  ; C'est hôtel est confortable. Mais l'hôtel organise des mariages donc il y a finalement trop de bruit ( des enfants qui jouent dans les corridors, la musique qui n'est pas restreinte. Je suppose que la salle de mariage n'est pas insonorisée. Difficile de dormir devant cette suitation. Finalement le bruit sonore rend le confort désagréable | Les équipements sont neufs |
7.1; Bien  ; Emplacement loin du centre ville. Un double vitrage serait bien pour isoler phonétiquement les chambres.| Bon petit déjeuner, hotel propre avec personnel accueillant .|
7.5; Bien  ; Douche dans les toilettes minuscule| Rapide arrive de l’arropory|
6.7;L’établissement est propre juste très dessus par la restauration et le petit déjeuner il faut l’amél; Le petit déjeuner est ridicule Très déçu par la restauration il faut payer le supplément si on veut De service de chambre| Les chambres sont très jolie assez spacieuse|
6.3;Déception totale mais cette employés on su me donner le sourire; J'ai jamais vu un hôtel ou il ya aucune information. Les prix ne sont pas respectés, en plus le service de navette pour l'aéroport m'a déposé à l'entrée de l'aéroport sur la route simplement parce que le chauffeur ne voulait pas payer le stationnement. J'ai du me débrouiller a sortir mes valises tout seul sur la route et finir le trajet à pied. Je ne recommanderai pas cet hôtel même si je reconnais sa beauté et son equipement neuf mais de mon point de vue la première règle est l'hospitalité, la transparence et surtout un dévoiement à satisfaire sa clientèle| J'ai aimé les employés au service du petit déjeuner.|
10; Exceptionnel ; Tout a été Parfait!| Le séjour a été agréable. Le personnel a été très cordial et a tout le temps fait montre de professionalisme. Toutes mes félicitations á l'équipe de Safyad et surtout aux réceptionistes: Théresa, Carine et Carole!!|
5.0; Passable ; 1 serviette pour 2 personnes, la réception trouve ça normal, un sercive en cuisine trop lent, personnel qui a l'air endormi, on a joué au billard 2 minutes, on nous a fait payer sans nous prévenir a l'avance| La nourriture du restaurant était très bonne, chambre propre|
9.6; Fabuleux  ; Bien situé et facile d'accès à partir de l'aéroport| L'emplacement ,|
4.2;beau a l'exterieur quelques fautes de conception; le lit, la sdb| le petit salon|
3.8;Très précaire pour le prix!; La chambre donne sur une avenue passante, il y a beaucoup de bruit la nuit et le jour (klaxon, circulation, passant, musique très forte), impossible de dormir!!! La piscine est toute petite et ne ressemble pas du tout aux photos (publicité mensongère). L'eau est trouble. La piscine est accessible à tout le monde, or clients de l'hôtel, donc beaucoup de fréquentions....| Le personnel est très agréable et la chambre est propre|
9.6;Séjour très agréable un hôtel que je recommande; Le service des petits déjeuners doit être amélioré par plus de diversité au niveau des produits| J'ai aimé la propreté de l'établissement ainsi que le confort des chambres.La literie était excellente.Le personnel était accueillant et disponible.Le réceptionniste de jour de l'hôtel m'a donné beaucoup d'informations utiles à mon séjour.Je recommande cet hôtel à tout ceux qui désirent séjourner à Yaoundé|
9.6; Fabuleux  ; Hôtel neuf. Encore en finition mais pas gênant. Personnel à l'écoute. Sympathique. Direction sympathique. Je recommande | Emplacement Propreté Écoute du personnel Équipements neufs|
7.0;Bien; Gentillesse du personnel - literie impeccable|
8.3; Très bien ; Un peu bruyant du côté route| L’accueil a l’aéroport et à l’hôtel |
4.2; Décevant ; J'ai réservé une chambre à 40 000 fcfa arrivé à l'hôtel on me fait comprendre que les chambres sont louées à 48 000 fcfa malgré la confirmation booking. N'ayant pas le choix j'ai été obligé de payer.  Pas moyen de payer en CB. Pour un hôtel 3 étoiles c'est limite | Pas grand chose |
8.0; Très bien ;

7.0; Bien  ;

7.5; Bien  ;

7.5; Bien  ;

10; Exceptionnel ;

6.0;je suis satisfaite de mon sejour au point ou j'ai prolonge mon sejour dans cet etablissement; rien| la maison est tres propre et calme|
10;Magnifique; J’ai tout aimé| Le personnel agréable|
5.0; Passable ; Presque tout..mais surtout les voisins de l’appartement d’a côté ..qui étaient d’une sauvagerie déconcertante..agressifs..dommage!| La sympathie du gardien|
5.0; Passable ; Il n'existe pas sur ce site, une précision de l'emplacement exacte de la résidence. Nous avons dû appeler pour nous retrouver. |
8.0; Très bien ;

7.0; Bien  ;

6.0; Agréable ; La discrétion du lieu |
8.0; Très bien ; Cool. Coin accessible et sécurisé.| Le décor|
6.0; Agréable ;

5.0; Passable ;

7.0;Paisible, propre et accueillant; Le calme pour travailler et/ou se reposer y est réalité. Seuls quelques aboiements des chiens de garde de la résidence...|
6.0;Paisibe et accueillant, si ce n´est le bruit des chiens le soir; Bruit des chiens de l´hôtel qui restent trop longtemps en cage. De superbes chiens de garde, malheureusement toujours enfermés jusqu`à très tard le soir. Alors leur plainte justifiée ne passe pas inapercu pour ceux qui aiment les animaux. Dommage pour ce beaux chiens Sevice de pressing existant, même si trop cher| Calme relatif du quartier avec un accès facile en centre-ville WiFi Climatisation Gardiens accueillants et serviables|
8.0;Bien; La principale était verroullée dans la nuit, On avait l'impression de ne pas être libre de nos mouvement. Le locataire doivent disposer d'un clé pour cette grille.| Pas  commandé|
8.0;On s'y sent presque comme chez soi; J'ai aimé la propreté et la liberté du local. On n'était vraiment pas dérangé par des bruits et le personnel était plutôt chaleureux. J'y passerai bien un autre séjour.|
7.9;Bon séjour en général ; La difficulté à retrouver le lieu pour la première fois. De même, pas toujours aisé de quitter la résidence avec des valises s’il n’y a pas de motos à proximité et le fait de ne pas payer avec une carte visa.| La disponibilité des agents de sécurité, un studio spacieux et la vue jardin (terrasse). J’ai beaucoup apprécié les conseils de sortie dans Yaoundé. C’est une résidence à recommander.|
7.5;mon séjour s'est déroulé dans de bonne condition. je recommande cet établissement.; la connexion internet est moyenne| Le cadre et l'environnement. la résidence est situé dans une rue calme en retrait de la rue principale. En dehors des problèmes de connexion internet j'ai réellement apprécié, l'accueil, les équipements et les volumes des pièces. Arnaud, le concierge-gardien est très professionnelle et sympathique|
6.7;Location appartement Yaoundé ; Pas de wifi pendant toute la durée du séjour Le télévision fonctionnait très mal | Appartement bien équipé et spacieux |
7.9;Charmant et reposant; Hote et personnel tres accueillant. Environnement  reposant et securisé. J y retounerais bien.|
5.8;Mal; L'accueil. Nous n'avons pas pu entrer en contact avec les personnes en charge de l'établissement au moment de la réclamation du prix que nous à demander le vigile. Le seul contact avec eux c'est fait au téléphone et aucun reçu de payement ne nous a été délivré.| Bonjour cher tous, je viens juste de me faire enregistrer sur Booking.com Je vous écrit pour me plaindre d'une situation désagréable vécu lors de la réservation dans l'établissement Toundalia Résidence les 02 au 03 Octobre. Le prix de réservation présenté sur Booking.com n'est pas celui qui m'a fait été payé après mon séjour. Cette situation embarrassante m'a permis de remettre en cause les services proposés aux clients. Je vous ecrit afin de vous pencher sur cette situation. Merci|
8.3;Abc; La fixation de certaines prises afin de réduire le risque d electrocution| La sécurité et la connexion wifi|
10;Excellent; Je n'ai pas apprécié le fait que j'ai réservé un appartement et qu'on ne m'ait pas prévenu que l'appart avait un souci. Résultat j'ai logé dans la chambre. | Le personnel toujours à l'écoute et dispo. Ils m'ont permis de libérer la chambre 1 h plus tard que d'habitude. |
9.0;Toujours aussi confortable...; Pas de bouchon pour la baignoire, je n'ai pas pu me couler un bain| Comme d'habitude, le confort et la déco ainsi que les équipements à disposition|
3.0;Tres frustrant et personellement je n'y retournerai pas et ne pourai pas le recommender a un proche.; Nous nous sommes vu attribuer un studio dont les photos ne figuraient pas sur booking et nous avons du payer un peu plus cher pour avoir un autre studio, dont nous avons été expulses 02 jours après soit disant parce qu'il avait déjà été réservé et nous a été attribue par erreur. C'est pas au client de payer pour les erreurs de gestion de la résidence. Devant une telle attitude j'ai préféré quitter ces lieux et j'ai termine mon séjour a l’hôtel Jouvence International.| J'ai trouve la résidence jolie dans son ensemble. Le studio ou nous avons séjourné était assez bien équipé.|
5.0; Passable ; JE N'AI PAS PU TROUVER L'HÔTEL  MÊME AVEC GOOGLE MAPS|
9.2;Souvenir remarquable ! je reviendrais en tant que touriste !; Seulement la douche qui était boucher mais dans l'ensemble tout allait bien.| Le personnel très accueillant attentionné. La sécurité es assuré. Je le recommande à tout le monde !|
8.8; Très bien ; Personnel accueillant et  disponible à  toute heure| Le calme l'hygiène et la  sécurité de la  résidence..logement  très  fonctionnel spacieux et  bien  aéré. Ce que  j'avais  déjà  apprécié  lors de  mon premier  séjour  il y a  deux ans |
9.6;Calme, propreté et confort; Je n'ai rien à signaler de négatifs. Le séjour a été parfait. Cet établissement est un petit bijou bien situé à Yaoundé.| J'ai aimé la très grande diligence du personnel toujours prêt à m'aider pour améliorer mon séjour. Je fais allusion aux gardiens notamment. Lorsque je revenais avec des courses en journée, le gardien se proposait de m'aider à porter les affaires jusqu’à mon appartement.  J'apprécie également l'intégrité professionnelle des femmes de ménage. Pressé par mon programme, j'ai laissé les clés de ma chambre aux femmes de ménage. Je n'ai absolument rien perdu et elles ont fait le ménage impeccablement et elles ont ensuite laissé mes clés aux gardiens.|
8.8; Très bien ; Changement du coup de la chambre lors de la location le prix afficher sur le net , n’est selon la propriétaire lors de l’arrivé du client le bon, il faut donc déboursé plus pour être loger . La fille de la propriétaire est très mal éduqué parle très mal aux résidents .| Très bel appartement , bien situé et propre .. Confortable  Je recommande au propriétaire de ne pas permettre à sa fille de parler n’importe comment aux résidents . ( très mauvaise façon de parler, mal éduqué . Merci|
4.2;A éviter, car ne correspond pas au service hôtel élémentaire.; Personne à l'accueil à l'arrivée. N'étais pas au courant de la réservation ! Pas de deuxième chambre réservée. incompétence du personnel. Accès à la rue difficile surtout avec pluie.  Réservation du taxi pour aéroport illusoire, sans compter la fausse information sur la distance ( 7 km au lieu  e 27 km ? )| Je cherche  toujours...Sinon la succession d'excuses pour les maladresses  successives...|
5.0;Aléas de location; J'avais réservé pour un appartement de classe supérieure et à mon arrivée cet appartement n'était plus libre. Un appartement moins luxueux m'a été proposé.  La douchette était cassée et le lavabo bouché  La télévision ne fonctionnait pas | J'ai pu conserver l'appartement jusqu'à 17h car mon vol était tardif|
2.5;Court séjour horrible à oublier rapidement; la climatisation| Cet établissement donne des informations erronées, L'appartement ne correspondait pas à celui qui était affiché sur le site. J'ai payé la totalité de mon séjour dès mon arrivée.   Les portes du studio qui m'a été finalement attribué au même prix que le grand appartement affiché sur le site, ne se fermaient pas.  Les deux gardiens torses nus et les mains dans le pantalon, se grattaient les parties génitales devant moi sans gène.  Pour information, je ne suis restée qu'une nuit dans cet établissement, sans papier toilette et l'évier de la salle de bain bouché.  Tous les chiens du quartier ont crié au loup toute la nuit, j'ai préféré changer d’établissement le lendemain.|
8.8;Sympathique; l'accés et l'identification de la résidence.  Je conseille à l'établissement de prévoir des panneaux signalétique depuis la voie principale afin de faciliter l'identification de la résidence.| La connexion wifi, la sécurité et la disponibilité du personnel. Merci encore pour cette attention|
8.0; Très bien ; La compréhension vu les circonstances était impeccable. La gérante a toujours bien écouté et elle était très gentille. Merci pour cette agréable, courte séjour.|
7.9; Bien  ; Personnel pas très professionnel. | Calme, bon rapport qualité prix, |

10; Exceptionnel ; Très bel appart , à refaire|
8.0;PARFAIT; l'installation d'une climatisation ne serait pas du luxe| l'emplacement , la surface de l'appartement et la propreté|
8.8;Satisfait; Manque de serviettes de bain Manque de savon  Manque de sel, poivre, eau et petite collation à notre arrivée| La quiétude|
9.6; Fabuleux  ; Connection Wi-Fi un peu lente| Villa au calme, ideal pour des séjours en famille, environnement agréable, propriétaire à l'écoute et service de qualité. Ayant été dans d'autres appartements meublés je suis satisfaite au regard du tarif abordable|
10; Exceptionnel ; Établissement situé dans un environnement calme. Situé à proximité d'un marché mais à l'abri des nuisances sonores. Idéal pour des séjours familiaux|
10; Exceptionnel ; Cadre très agréable, propre, sécurisé. Propriétaire est à l'écoute,   Très Satisfaisant.  Je reviendrais avec plaisir.|
10;Hyper satisfaite; L'appartement était très propre et agréable, l'hôte hyper avenant et c'est un endroit très calme.jai trop adoré|
10; Exceptionnel ; Tout était bien.| Accueil très agréable, facile d’accès, maison neuve , propre, tout équipé.  Un cadre et un environnement de qualité. Dans un endroit calme... je reviendrais avec plaisir lors d’un prochain séjour|
9.6; Fabuleux  ; Un.peu loin du centre ville mais accessible via la route principale. Trouver la moto pour les sorties sont difficiles.| Tout le reste  Équipements et propreté parfait.|
7.0;Très bon établissement !!!; Accès en voiture un peu délicat mais faisable  Encore en travaux côté finitions mais rien de dramatique  Porte de la cuisine coincée...| J'aimerais tout particulièrement apprécier le rapport qualité prix  Le personnel est accueillant et serviable On est en sécurité !!! l'appartement était en tres bon état et meublé avec goût  Une fois que les finitions terminées ce sera un réel avantage certain si le prix et le service en restaient là !!! J'ai particulièrement apprécié le café à l'italienne😁 Je recommande recommande cette établissement ( nkoabang entrée carrière ) les yeux fermés  |
5.0; Passable ; La maison était encore en travaux quand j'ai réservé ce qui n'était pas signalé. Avec des fils électriques apparents, du bruit ...le micro ondes sur les photos n'est pas dans l'appartement et nous avons rencontré des problèmes d'arrivée d'eau... De plus le gardien voulait me faire payer le nettoyage des draps et le ménage de fin de séjour ce qui n'était pas du tout spécifié ! | L'accueil et le sourire du père de la propriétaire des lieux qui a tout fait pour nous mettre à l'aise. Il devrait donner des cours de convivialité au gardien...|
9.0; Fabuleux  ;

7.0; Bien  ;

8.0; Très bien ;

9.0;Juste genial;

9.6; Fabuleux  ; Le maître des lieux est très accueillant et soucieux du bien-être de ses hôtes.  Un endroit fortement recommandable  |
9.0;Très bien a recomander; Ras| Situation,jardin,deco,confort,accueil|
10;Un séjour plus qu'appréciable, un accueil, un emplacement,, un hôte parfaits!!!; rien| l'accueil de la part du propriétaire, sa disponibilité, l'emplacement de la maison, les bons plans donnés par le propriétaire. C'était un séjour fabuleux. Nous recommandons chaleureusement ce lieu très plaisant.|
10; Exceptionnel ; Le logement est tout simplement sublime.|
10;Magnifique; La serviabilité du gardien. Une bonne sécurité|
9.2;A refaire pour mieux apprécier l accueil; Au chute de la lobe au restaurant, arnaqueurs| L investissement de l hôte pour vous satisfaire|
10;Donne envie d'y retourner; Le gerant très acceuillant et très cool. La propreté du lieu est impeccable. Le confort y est et le plus important est le meilleur rapport qualité/prix|
10;Logement très bien situé entre le débarcadère et chute de la lobée ; Propreté calme espace |
9.0;Calme , et très beau séjour; Changer les fauteuils du salon et mettre un miroir au salon| Oui|
9.5; Fabuleux  ; Maison très agréable, propre et bien entretenue.  Très bon accueil par le propriétaire, disponible et à l'écoute de nos demandes.|
9.2;Satisfaction; Éloignement relatif de la plage| Le calme, la sécurité, la beauté des lieux|
10; Exceptionnel ;

8.0; Très bien ;

9.0;Un repos tout confort et un personnel au petits soins; Le cadre est parfait pour passer quelques jours de repos et de détente. Le personnel etait très disponible et présent dans l'espace piscine-jacuzzi pour être à nos soins. Le restaurant en face est aussi un très bon plan pour manger des plats raffinés.|
7.0;Agréable dans l'ensemble, avec quelques réserves néanmoins.; La construction de studios "en dur" au milieu des bungalows, l'accès à la plage entre motos et brouettes ...| Comme d'habitude, l'accueil et la disponibilité du personnel !|
7.0; Bien  ; Par contre, le restaurant est de pire en pire. 2h d'attente pour être servi le midi comme le soir = ça n'est pas acceptable. Les plats arrivent au compte goutte. Pour le petit déjeuner à 9h30 le buffet était vide alors que c'est censé durer jusqu'à 11h30.  L'organisation du restaurant est à revoir complètement.| Je séjourne régulièrement dans cet hôtel et le rapport qualité prix est bon.|
8.0;Séjour reposant, appréciation de la rénovation des équipements.; Connexion internet instable dans le logement..| plage, piscine, petit dej..|
8.0;Dans l'ensemble il était bon; Manque de distraction pour enfant| Piscine, restaurant, vélo et la lecture|
9.0;Excellent endroit pour se reposer.; Toutefois, salle de sport assez mediocre... :(| L'empartement était impeccable et très bien entretenu. Le petit déjeuner au top, avec une belle vue sur la mer! Rapport qualité/prix rien à dire ! C'était un très beau séjour pour ma part :)|
9.0;Nous étions au nombre de 8 et vraiment satisfait... on revient à 12 l’année prochaine si Dieu voulan; 👍🏾| La gentillesse du et la spontanéité du personnel du restaurant|
9.0; Fabuleux  ; Toujours au top|
7.0;Séjour agréable comme d'habitude sauf un petit couac au resto.; Cela fait a plusieurs fois que bous venons chez vous et cette fois ci nous avons trouvé le service au Plaisir du goût très très lent. Trois quart d'heure pour un tartare de baracuda ! Ceci a été le cas pendant les 3 jours de notre séjour et s'est répété le 13 janvier. Nous ne pouvons pas parler de rush ce jour là. A revoir donc de ce côté.| Le calme pendant la nuit.|
9.0;Idéal pour une famille de 5/6 personnes (chalets avec kitchenette, piscine, restaurant et plage !; Néant| Habitués des lieux en famille, RAS.|
8.0;Entre la piscine et la mer, je suis surpris que mes enfants n'aient pas fondu !; La plage est sans conteste un atout majeur ! Pour autant, rien n'est fait pour en faciliter l'accès et les travaux actuels n'arrangent pas la situation. A revoir sans faute, tant au niveau pratique qu'esthétique !| A peu près tout, en particulier le professionnalisme et la gentillesse du personnel, raison pour laquelle nous revenons régulièrement. Une mention particulière pour la plage, dorénavant bien nettoyée ...|
8.0;Excellent séjour dans cet établissement qui mérite le détour.; Le cadre est vraiment sympa et le rapport qualité/prix est très correct, le personnel est au petit soin. Pas de chose négative lors de ce sejour!|
8.0;Nous nous sommes bien amusées; L'emplacement de l appartement qui était à l'étage| Pétit déjeuner  excellent. La vue sur la mer donne un côté chic au restaurant|
9.0;Super; La climatisation dans les chambres et la luminosité| J'ai trouvé que le Petit déjeuner n'était pas assez garni. Bien que ce qui y était était bin|
8.0; Très bien ; Les gîtes de Kribi franchement nous avons beaucoup aimé, le calme la propriété bref tout est été presque parfait. Hors mis la lumière à la terrasse qui reste allumé toute la nuit, un peu gênant pour eux qui aiment dormir dans le noir. Le restaurant top. Bon rapport qualité prix. Je recommande. | Le cardre, l'accueil la propreté le calme |
8.0; Très bien ; Wifi : Sur un séjour d'une durée de 10jours, plus de 2 jours sans wifi. (Nous étions logés au chalet.) Piscine : attention, si le gite de Kribi était complet, sa taille serait nettement insuffisante.| L'emplacement est très bien, à deux pas de la mer et du resto. Le réceptionniste était très sympathique et arrangeant, contrairement à ses collègues femmes.|
9.0;Très bien,nous reviendrons.; Tout était vraiment super,tout mes remerciements au personnel et en particulier au serveur du restaurant Gerard qui est très sympathique et professionnel.|
9.0;Très agréable une fois de plus aux gîtes de kribi, cadre  propice à la détente; Le climatiseur de la chambre était très bruyant| Petit déjeuner superbe avec une vue magnifique sur la mer|
9.0; Fabuleux  ; LA piscine ferme tot!!! | Le repas LA plage|
8.0;C'était magnifique comme toujours; Les femmes de chambre oubliaient  de laisser la couverture sur les lits a étage| Le petit déjeuner copieux,la piscine toujours propre,le personnel sympa|
9.0;REPOS; OUVERTURE TARDIVE DE LA PISCINE| L'ACCEUIL|
8.0;Relaxant et mémorable; La salle de bain pourrait être rénovée, elle est un peu désuète.| Petit déjeuner varié, très bon et copieux.  Nous avons particulièrement apprécié l'accueil très chaleureux et la disponibilité du personnel, beaucoup de professionalisme. Le jacuzzi est top et le poisson braise au restaurant succulent!!|
7.0;Séjour agréable dans un cadre qui l'est tout aussi bien.; - la toilette de notre chambre était bien trop petite, - l'allure de la chambre était vraiment basique.| - nous avons apprécié prendre le petit déjeuner dans leur restaurant en bordure de mer, - le personnel était disponible et professionnel.|
8.0;mangrove et plage; rien| bungalow a coté de la mangrove, kayak , spa, piscine  petit déjeuner compris avec vu sur la plage|

10;Tout était parfait; Tout était parfait| Service sans petit déjeuner pour nous mais la dame nous a fait un dîner très bon.|
7.0; Bien  ; L'entrée qui mène à la résidence.  Juste à la sortie d'un virage sur un axe routier très fréquenté.  Pour aller en ville venant de la résidence il faut faire un L - Turn ce qui est risqué. | Le cadre et le  calme |
7.0;Reposant.; Tranquillité, cadre détente.| Cadre accueillant et très proche de la mer. C'est l'endroit idéal où venir se reposer et faire trempette.|
9.0;séjour agréable et inoubliable.; J’aurais aimé avoir les chaînes canal+ sur le bouquet car je suis fan de foot| le calme, l’accès facile à la mer ainsi qu’à la route principale.                                                                           La disponibilité  et le professionnalisme du personnel|
8.8; Très bien ; Pas de wifi|
7.5; Bien  ; Petit bémol, les problèmes de pression d'eau à l'étage très désagréables, qu'il va falloir solutionner, pour un confort optimal des clients.| Idéalement situé, cadre agréable, reposant et convivial. Personnel aimable et a l'écoute des clients.|
7.0;reposant et agréable; le chemin vers la plage peut être mieux balisé et éclairé régulièrement en soirée| le bassin pour enfants et la proximité de la plage. La disponibilité du personnel|
9.6; Fabuleux  ; La distance avec le centre ville mais l’accès est facile tout de même | C’est propre, spacieux, convivial, complet, le personnel est poli, accueillant disponible, la maison est magnifique avec tout le nécessaire |
8.3;Meilleure option en rapport qualité prix! Le juste milieu!; Le confort du lit et de la salle à manger, bref les finitions ou le suivi du confort n’est pas au top.| Le cadre est agréable et propre, près de la mer, on y accède facilement. La disponibilité du personnel et leur courtoisie.|
7.1;Nous y avons passé un agréable séjour; Le cadeau de bienvenue pour les enfants, un panier de gouters que les enfants ont fortement apprécié| L'accueil et la sollicitude du couple propriétaire.|
9.2;Super et à refaire; les conditions de paiement et le ton empli par le responsable de la réservation| Le calme l’accueil très chaleureux du personnel et principalement cadre idéal pour des vacances en famille.|
8.8;Belle résidence avec plage à 50m; Accès facile mais pourrait être mieux indiqué. Equipements sportifs (badminton, ping pong) vieillis et endommagés (inutilisables lors de notre passage)| Très bon accueil, appartements spacieux et confortables, accès direct à une belle plage|
8.3;Plaisant , reposant; La sécurité au niveau de l'accès des animaux sauvages est à améliorer| Bonnes indications, endroit calme et reposant Personnel réactif et agréable L'emplacement est bon, penser toutefois à améliorer la piste d'accès, pour les véhicules bas...|
7.1;Bon séjour globalement; bruits occasionnés par les locataires de l'etage superieur, pas de climatisation dans le salon, ni ventilateur disponible, pas de fer à repasser dans l'appartement, pas d'accès internet. Peu d'équipements exterieurs exploitables, piscines non utilisables, table de ping ping en mauvaise état.| Disponibilité de  notre hôte|
8.3; Très bien ; La disponibilité à temps dans le cas où les équipements de cuisine etaient utilisés par d'autres occupants... | La proximité de la mer..., l'accueil chaleureux de l'établissement, la propreté de la pièce et de letablissement, la sécurité était assurée...|
7.5;Endroit très cool nous avons aimés et nous reviendrons; Les méduses ,| Une grande cour offrant un espace de jeux pour enfant, l'eau chaude dans la salle de bain|
9.6; Fabuleux  ; Lit un pe petit | Le calme,la propreté,disponibilité personnel, politesse convivialité |
7.9;conviviale; La restauration ne se fait pas sur place| Conviviale et familiale|
9.2;Très agréable, il y avait tout ce que j'espère. Vraiment félicitations à Romiace; L'air ne circule pas assez dans la pièce.| Le personnel accueillant Le cadre agréable|
8.3;Cadre agréable et reposant ; La puissance du groupe ne pouvant pas gérer la climatisation durant les coupures. | Presque Tout. Superbe espaces de loisir, assez d'activités ludiques pour les enfants et les adultes, la gentillesse du personnel et des propriétaires qui font tout leur possible pour que le client soit satisfait. La propreté du local.|
9.2;Super avec de belles rencontres et un repos soulageant; Petites coupures d’eau,et aussi pensez spontanément à changer les draps sans qu’on ne vous le demande| La plage est Superbe avec un site très beau convivial dans un calme total c’est un havre de paix sans oublier la disponible des dames de ménage les  proprios aussi st merveilleux le seul bémol était des petites coupures d’eau comme toutes œuvres des hommes rien ne peut être parfait|
8.3;Agréable; L’entrée de la résidence n’est pas indiquée sur un support| Vue sur la plage|
8.8;Splendide et géniale en général.; Rien en particulier| Surtout la proximité avec la plage, le terrain du logement agréable...|
9.2;Juste magnifique; Cette résidence est parfaite lorsqu'on est en famille. J'ai vraiment tout aimé. La proximité avec la plage est un atout|

8.0; Très bien ; manque d ustensile pour faire da cuisine planche à découper les fruits et légumes | Personnel serviable et disponible Emplacement au calme |
9.0;Superbe séjour, nous reviendrons!; Ceci n'a rien à voir avec l'établissement, mais malheureusement, l'extraction de sable dans le centre de Kribi se poursuit et l'environnement se dégrade toujours un peu plus... l'arbre magnifique n'est plus, laissant un vide béant, la palissade et la bordure d'oiseaux de paradis plantée sont tombées... la prochaine fois il y aura sans doute un peu plus de murs en béton pour protéger les concessions du littoral, et de rochers sur la plage| Nous aimons beaucoup cet établissement, idéal en famille, un personnel adorable, un jardin super bien entretenu, juste à côté du débarcadère et de la creperie les pieds dans l'eau... ce n'était pas la première fois et j'espère que nous aurons encore l'occasion de revenir!|
8.0;agreable; Peinture a rafraichir a l'exterieur, frigo fonctionnel mais un peu vieux| emplacement bien situe, jardin et plage. Le studio est confortable et bien equipe.|
7.0;Calme; Moustique lol| L accueil et l hospitalité de Mr Dagobert|
7.0;Agréable séjour malgré les manquement; La vetucité du frigo| L'hôtel n'offre pas le petit déjeuné encore moins les repas, donc obligé d'aller se débrouiller ailleurs, ce qui me parait un peut gênant. Je souhaite que vous puissiez offrir à manger aux  clients|
8.0;Séjour bien agréable; Mettre un peu de décoration locale  Serait un grand plus| Tres joli cadre... jardin très agréable... belle vue Chambre spacieuse et agréable  Personnel ok et darius est très sympa et serviable  Merci|
7.0;Un bon et agréable séjour; Beaucoup d'insectes le premier jour qui nous ont attaqué grave, ensuite le gazon à été taillé (probablement avec l'argent que nous avons payé) et la situation s'est nettement améliorée. Moustiquaires aux fenêtres à prévoir pour toutes les pièces de la maison pour pouvoir profiter de la brise de l'extérieur au lieu de devoir mettre clim ou ventilateur toute la nuit (et même avec ventilateur on a eu chaud). Propreté à l'intérieur des maisons très defaillante et superficielle. A l'extérieur quelques vidres cachés au jardin, très très dangereux pour les enfants qui souvent marchaient à pieds nus.| Nous avons eu de la chance car nous avons eu tout l'espace à partager avec seulement les gardiens et leur famille. Position superbe avec jardin et accès direct à la plage, belle terrasse avec vue sur la mer pour des repas inoubliables.|
8.0; Très bien ; Pas de clim dans le salon. Lavabo à refixer Pas de télé. | L'emplacement est super. Le personnel Dagobert et Rose sont très gentils, vraiment serviables et discrets. Le jardin est très bien entretenu. |
8.0;Très bon séjour à Ocean Mansion! Je recommande fortement, idéal pour les familles avec enfants :-); Nous suggérons juste deux petits investissements: les moustiquaires (soit aux fenetres soit aux lits tout simplement, bien plus efficaces que les appareils électriques proposés) et une lampe de chevet dans la chambre ,-)| Nous avons passé un très bon séjour à Ocean Mansion. Très bel espace, très bien accueillis, logement bien entretenu, très agréable et spacieux (salon avec deux lits simples idéal pour enfants, chambre parentale avec rangements, sdb,wc et cuisine équipée). Les enfants se sont bien plus, à jouer dans le jardin magnifique à l'ombre d'arbres magnifiques et dans le bac à sable (je ne pense pas qu'il était là pour ça, mais en tout cas gros succès pour notre petit garçon) et la plage au bout du jardin...|
9.0;Agréable; La situation de l'établissement juste face à la mer,  prêt des petits commences. L'accueil et la sympathie du personnel, sans oublier la propreté des lieux... bercé par les vagues le soir vous allez dormir comme un bébé.|
8.3; Très bien ; Excellent emplacement très calme |
7.9; Bien  ; Évacuation de douche un peu bouché..| Établissement face à la mer, grande chambre avec réfrigérateur, plaque de cuisson climatisation. Le personnel est disponible et sympathique.|
8.3; Très bien ; Il est dommage que l'appartement n'est pas été nettoyé pendant notre séjour que les draps n'est pas été changé voilà c'est à peu près ce que l'on peut dire à cet établissement sans ça c'était très bien| Remplacement voir le beau temps qu'il y a eu à kribi c'était tranquille tranquille c'est un peu compliqué pour sortir mais bon on rentre et on est obligé de d'embêter les gardiens voilà|
7.1; Bien  ; La saleté de la plage et des alentours. | Le rapport qualité prix. |
8.3;Rien que pour le cadre, j'y reviendrai volontiers; Deux lits mais une seule moustiquaire| Un cadre calme, approprié pour le repos L'accueil très chaleureux de l'hôte et du personnel Un hôte toujours prêt à mettre ses pensionnaires à leur aise La proximité à la plage Le jardin Une vraie maison de vacances pour une petite famille|
8.8; Très bien ; Excellent lieux pour se reposer que ce soit seul ou en famille , tout y est pour un séjour parfait|
